X	Y	Data
21296	58080	0.135001
23232	58080	0.114229
25168	58080	0.285659
27104	58080	0.415890
29040	58080	0.477133
30976	58080	0.431010
32912	58080	0.310318
34848	58080	0.130237
36784	58080	0.047385
38720	58080	0.156846
40656	58080	0.198677
42592	58080	0.161226
44528	58080	0.069912
46464	58080	0.066796
48400	58080	0.100815
50336	58080	0.106336
52272	58080	0.050058
54208	58080	0.134523
56144	58080	0.324362
58080	58080	0.525580
58100	58080	0.523007
0	58100	0.589361
1936	58100	0.344363
3872	58100	0.116591
5808	58100	0.091447
7744	58100	0.143582
9680	58100	0.142848
11616	58100	0.074377
13552	58100	0.068349
15488	58100	0.174082
17424	58100	0.224820
19360	58100	0.196480
21296	58100	0.090163
23232	58100	0.116295
25168	58100	0.285861
27104	58100	0.419881
29040	58100	0.474832
30976	58100	0.433847
32912	58100	0.307627
34848	58100	0.131819
36784	58100	0.058594
38720	58100	0.157039
40656	58100	0.199251
42592	58100	0.161792
44528	58100	0.067456
46464	58100	0.057754
48400	58100	0.104902
50336	58100	0.104847
52272	58100	0.048838
54208	58100	0.131474
56144	58100	0.319327
58080	58100	0.531079
58100	58100	0.531630
